Type,Date1,Date2,Company,Bus1,Bus2,Sales,Profit,VariableCost,FixedCost
ACT,202401,202401,FTAI,X線,CT,4860000,-35652000,-28896000,-11616000
ACT,202401,202401,FTAI,X線,MR,10490000,-7122000,-6236000,-11376000
ACT,202401,202401,FTAI,X線,XR,90410000,70322000,-10768000,-9320000
ACT,202401,202401,FTAI,内視鏡,スコープ,70080000,51136000,-9000000,-9944000
ACT,202401,202401,FTAI,内視鏡,処置具,49780000,21444000,-20204000,-8132000
ACT,202401,202401,FTAI,内視鏡,本体・プロセッサー,44540000,18680000,-11612000,-14248000
ACT,202401,202401,FTAI,IVD,化学分析装置,15030000,-25870000,-26516000,-14384000
ACT,202401,202401,FTAI,IVD,ドライケム,30770000,-9020000,-36420000,-3370000
ACT,202401,202401,FTAI,IVD,IMMUNO,44770000,23178000,-4996000,-16596000
ACT,202401,202401,FFIN,X線,CT,80630000,37134000,-33440000,-10056000
ACT,202401,202401,FFIN,X線,MR,89860000,51712000,-19732000,-18416000
ACT,202401,202401,FFIN,X線,XR,70300000,59346000,-5648000,-5306000
ACT,202401,202401,FFIN,内視鏡,スコープ,10260000,-7808000,-7360000,-10708000
ACT,202401,202401,FFIN,内視鏡,処置具,64780000,29382000,-16524000,-18874000
ACT,202401,202401,FFIN,内視鏡,本体・プロセッサー,54310000,33400000,-9280000,-11630000
ACT,202401,202401,FFIN,IVD,化学分析装置,95410000,80102000,-11576000,-3732000
ACT,202401,202401,FFIN,IVD,ドライケム,10600000,-44710000,-39080000,-16230000
ACT,202401,202401,FFIN,IVD,IMMUNO,44030000,18498000,-24172000,-1360000
ACT,202401,202401,FFVN,X線,CT,93080000,61838000,-22868000,-8374000
ACT,202401,202401,FFVN,X線,MR,52430000,12756000,-35420000,-4254000
ACT,202401,202401,FFVN,X線,XR,10980000,-10722000,-5924000,-15778000
ACT,202401,202401,FFVN,内視鏡,スコープ,68970000,54204000,-2868000,-11898000
ACT,202401,202401,FFVN,内視鏡,処置具,86490000,41938000,-34224000,-10328000
ACT,202401,202401,FFVN,内視鏡,本体・プロセッサー,22990000,9560000,-7732000,-5698000
ACT,202401,202401,FFVN,IVD,化学分析装置,23710000,-1956000,-8460000,-17206000
ACT,202401,202401,FFVN,IVD,ドライケム,50900000,-676000,-37548000,-14028000
ACT,202401,202401,FFVN,IVD,IMMUNO,87680000,37282000,-31576000,-18822000
ACT,202401,202401,FFID,X線,CT,9090000,-22134000,-24320000,-6904000
ACT,202401,202401,FFID,X線,MR,80090000,64916000,-5184000,-9990000
ACT,202401,202401,FFID,X線,XR,21910000,10542000,-10276000,-1092000
ACT,202401,202401,FFID,内視鏡,スコープ,10110000,-12538000,-21556000,-1092000
ACT,202401,202401,FFID,内視鏡,処置具,95520000,61722000,-27676000,-6122000
ACT,202401,202401,FFID,内視鏡,本体・プロセッサー,88790000,76866000,-1484000,-10440000
ACT,202401,202401,FFID,IVD,化学分析装置,47190000,37298000,-8332000,-1560000
ACT,202401,202401,FFID,IVD,ドライケム,79310000,69328000,-6352000,-3630000
ACT,202401,202401,FFID,IVD,IMMUNO,93110000,55988000,-25648000,-11474000
ACT,202401,202401,HLAU,X線,CT,53320000,17400000,-24220000,-11700000
ACT,202401,202401,HLAU,X線,MR,97650000,45196000,-32940000,-19514000
ACT,202401,202401,HLAU,X線,XR,83840000,59228000,-15080000,-9532000
ACT,202401,202401,HLAU,内視鏡,スコープ,19470000,-5176000,-15196000,-9450000
ACT,202401,202401,HLAU,内視鏡,処置具,63890000,39622000,-7780000,-16488000
ACT,202401,202401,HLAU,内視鏡,本体・プロセッサー,31630000,9384000,-6436000,-15810000
ACT,202401,202401,HLAU,IVD,化学分析装置,28570000,3394000,-14828000,-10348000
ACT,202401,202401,HLAU,IVD,ドライケム,43680000,-5908000,-30612000,-18976000
ACT,202401,202401,HLAU,IVD,IMMUNO,56790000,18374000,-20100000,-18316000
ACT,202401,202401,ADJ_ME1,X線,CT,86220000,51350000,-31552000,-3318000
ACT,202401,202401,ADJ_ME1,X線,MR,25940000,-16490000,-29628000,-12802000
ACT,202401,202401,ADJ_ME1,X線,XR,78360000,37132000,-24064000,-17164000
ACT,202401,202401,ADJ_ME1,内視鏡,スコープ,93110000,62586000,-11796000,-18728000
ACT,202401,202401,ADJ_ME1,内視鏡,処置具,55160000,17846000,-29364000,-7950000
ACT,202401,202401,ADJ_ME1,内視鏡,本体・プロセッサー,6990000,-29552000,-26716000,-9826000
ACT,202401,202401,ADJ_ME1,IVD,化学分析装置,7870000,-15134000,-6364000,-16640000
ACT,202401,202401,ADJ_ME1,IVD,ドライケム,25200000,-13328000,-35188000,-3340000
ACT,202401,202401,ADJ_ME1,IVD,IMMUNO,71420000,66180000,-1916000,-3324000
ACT,202401,202401,ADJ_ME2,X線,CT,53240000,46198000,-1584000,-5458000
ACT,202401,202401,ADJ_ME2,X線,MR,12440000,-36202000,-35428000,-13214000
